commonName,nation,position,rating,pace,shooting,passing,dribbling,defending,physicality
Pelé,54,CAM,98,95,96,93,96,60,76
Ronaldo,54,ST,96,97,95,81,95,45,76
Zidane,18,CAM,96,85,92,96,95,75,86
Pelé,54,CF,96,96,94,92,95,58,75
Pelé,54,CF,95,96,93,90,95,56,75
Zidane,18,CAM,95,84,91,94,94,73,85
Ronaldo,54,ST,95,95,94,80,94,46,78
Ronaldinho,54,LW,94,92,90,91,95,37,81
Ronaldo,54,ST,94,93,93,80,93,46,80
Zidane,18,CAM,94,82,90,93,92,72,83
Puskás,23,CF,94,91,96,91,92,46,76
Müller,21,ST,94,88,94,77,88,43,76
Cruyff,34,CF,94,91,92,91,94,42,73
Yashin,40,GK,94,95,89,75,95,96,0
Garrincha,54,RW,94,90,87,94,96,41,68
Maldini,27,CB,94,86,56,75,69,96,83
van Basten,34,ST,93,83,94,76,89,39,75
Baggio,27,CAM,93,86,84,92,92,40,61
Mbappé,18,ST,93,98,91,84,94,39,80
