id,name
2,Andorra
4,Austria
6,Belarus
8,Bosnia and Herzegovina
10,Croatia
12,Czech Republic
14,England
16,Faroe Islands
18,France
20,Georgia
22,Greece
24,Iceland
26,Israel
28,Latvia
30,Lithuania
32,Malta
34,Netherlands
36,Norway
37,Poland
38,Portugal
40,Russia
43,Slovakia
45,Spain
47,Switzerland
49,Ukraine
51,Serbia
52,Argentina
54,Brazil
56,Colombia
58,Paraguay
60,Uruguay
63,Antigua and Barbuda
70,Canada
73,Cuba
77,Grenada
79,Guyana
81,Honduras
83,Mexico
85,Curaçao
88,Puerto Rico
90,St. Lucia
93,Trinidad and Tobago
97,Algeria
99,Benin
102,Burundi
104,Cape Verde Islands
106,Chad
108,Côte d'Ivoire
111,Egypt
114,Ethiopia
116,Gambia
118,Guinea
120,Kenya
123,Libya
126,Mali
128,Mauritius
129,Morocco
131,Namibia
136,Senegal
140,South Africa
143,Tanzania
145,Tunisia
147,Zambia
149,Afghanistan
157,Guam
159,India
161,Iran
163,Japan
166,Korea DPR
167,Korea Republic
173,Malaysia
182,Qatar
184,Singapore
188,Thailand
191,Uzbekistan
195,Australia
198,New Zealand
205,Gibraltar
208,Estonia
214,Comoros
219,Kosovo
